test_id,model,datasetSize,threads,queryName,queryType,elapsedTime,numEntities
e95b51ff-23a0-4a0f-9507-6bce43d1bd40,dtgraph,small,32,AgentHistory,edgesDirection,14,1
294713d1-0f46-45b7-a50a-feded9ee88d1,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
294713d1-0f46-45b7-a50a-feded9ee88d1,dtgraph,small,32,EnvironmentAggregate,edgesDirection,278,100
294713d1-0f46-45b7-a50a-feded9ee88d1,dtgraph,small,32,MaintenanceOwners,edgesDirection,209,100
294713d1-0f46-45b7-a50a-feded9ee88d1,dtgraph,small,32,EnvironmentOutlier,edgesDirection,588,8
294713d1-0f46-45b7-a50a-feded9ee88d1,dtgraph,small,32,AgentOutlier,edgesDirection,345,100
294713d1-0f46-45b7-a50a-feded9ee88d1,dtgraph,small,32,AgentHistory,edgesDirection,11,1
9bce4090-40ce-4631-b3ac-de5edf3662f0,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
9bce4090-40ce-4631-b3ac-de5edf3662f0,dtgraph,small,32,EnvironmentAggregate,edgesDirection,275,100
9bce4090-40ce-4631-b3ac-de5edf3662f0,dtgraph,small,32,MaintenanceOwners,edgesDirection,203,100
9bce4090-40ce-4631-b3ac-de5edf3662f0,dtgraph,small,32,EnvironmentOutlier,edgesDirection,593,8
9bce4090-40ce-4631-b3ac-de5edf3662f0,dtgraph,small,32,AgentOutlier,edgesDirection,344,100
9bce4090-40ce-4631-b3ac-de5edf3662f0,dtgraph,small,32,AgentHistory,edgesDirection,10,1
44a37368-289d-4268-9ae3-65dc72b1ab52,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
44a37368-289d-4268-9ae3-65dc72b1ab52,dtgraph,small,32,EnvironmentAggregate,edgesDirection,268,100
44a37368-289d-4268-9ae3-65dc72b1ab52,dtgraph,small,32,MaintenanceOwners,edgesDirection,206,100
44a37368-289d-4268-9ae3-65dc72b1ab52,dtgraph,small,32,EnvironmentOutlier,edgesDirection,589,8
44a37368-289d-4268-9ae3-65dc72b1ab52,dtgraph,small,32,AgentOutlier,edgesDirection,348,100
44a37368-289d-4268-9ae3-65dc72b1ab52,dtgraph,small,32,AgentHistory,edgesDirection,12,1
e06d079a-e2a5-4a4a-bc19-12349099eaa7,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
e06d079a-e2a5-4a4a-bc19-12349099eaa7,dtgraph,small,32,EnvironmentAggregate,edgesDirection,269,100
e06d079a-e2a5-4a4a-bc19-12349099eaa7,dtgraph,small,32,MaintenanceOwners,edgesDirection,204,100
e06d079a-e2a5-4a4a-bc19-12349099eaa7,dtgraph,small,32,EnvironmentOutlier,edgesDirection,599,8
e06d079a-e2a5-4a4a-bc19-12349099eaa7,dtgraph,small,32,AgentOutlier,edgesDirection,341,100
e06d079a-e2a5-4a4a-bc19-12349099eaa7,dtgraph,small,32,AgentHistory,edgesDirection,10,1
a4a5342e-873d-48a6-b5eb-0a527d93b5b9,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
a4a5342e-873d-48a6-b5eb-0a527d93b5b9,dtgraph,small,32,EnvironmentAggregate,edgesDirection,275,100
a4a5342e-873d-48a6-b5eb-0a527d93b5b9,dtgraph,small,32,MaintenanceOwners,edgesDirection,200,100
a4a5342e-873d-48a6-b5eb-0a527d93b5b9,dtgraph,small,32,EnvironmentOutlier,edgesDirection,602,8
a4a5342e-873d-48a6-b5eb-0a527d93b5b9,dtgraph,small,32,AgentOutlier,edgesDirection,344,100
a4a5342e-873d-48a6-b5eb-0a527d93b5b9,dtgraph,small,32,AgentHistory,edgesDirection,11,1
2fdc3abb-4ede-44bd-94ab-4358d29f3795,dtgraph,small,32,EnvironmentCoverage,edgesDirection,2,10
2fdc3abb-4ede-44bd-94ab-4358d29f3795,dtgraph,small,32,EnvironmentAggregate,edgesDirection,273,100
2fdc3abb-4ede-44bd-94ab-4358d29f3795,dtgraph,small,32,MaintenanceOwners,edgesDirection,201,100
2fdc3abb-4ede-44bd-94ab-4358d29f3795,dtgraph,small,32,EnvironmentOutlier,edgesDirection,595,8
2fdc3abb-4ede-44bd-94ab-4358d29f3795,dtgraph,small,32,AgentOutlier,edgesDirection,342,100
2fdc3abb-4ede-44bd-94ab-4358d29f3795,dtgraph,small,32,AgentHistory,edgesDirection,12,1
96831a88-0d30-4768-ba57-94f023566240,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
96831a88-0d30-4768-ba57-94f023566240,dtgraph,small,32,EnvironmentAggregate,edgesDirection,268,100
96831a88-0d30-4768-ba57-94f023566240,dtgraph,small,32,MaintenanceOwners,edgesDirection,197,100
96831a88-0d30-4768-ba57-94f023566240,dtgraph,small,32,EnvironmentOutlier,edgesDirection,608,8
96831a88-0d30-4768-ba57-94f023566240,dtgraph,small,32,AgentOutlier,edgesDirection,370,100
96831a88-0d30-4768-ba57-94f023566240,dtgraph,small,32,AgentHistory,edgesDirection,12,1
d3b41ee7-caf6-47f6-8dab-3b23edd40d8f,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
d3b41ee7-caf6-47f6-8dab-3b23edd40d8f,dtgraph,small,32,EnvironmentAggregate,edgesDirection,280,100
d3b41ee7-caf6-47f6-8dab-3b23edd40d8f,dtgraph,small,32,MaintenanceOwners,edgesDirection,212,100
d3b41ee7-caf6-47f6-8dab-3b23edd40d8f,dtgraph,small,32,EnvironmentOutlier,edgesDirection,583,8
d3b41ee7-caf6-47f6-8dab-3b23edd40d8f,dtgraph,small,32,AgentOutlier,edgesDirection,341,100
d3b41ee7-caf6-47f6-8dab-3b23edd40d8f,dtgraph,small,32,AgentHistory,edgesDirection,10,1
c3566006-fadc-431a-82c2-a2c8d63a1cc0,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
c3566006-fadc-431a-82c2-a2c8d63a1cc0,dtgraph,small,32,EnvironmentAggregate,edgesDirection,275,100
c3566006-fadc-431a-82c2-a2c8d63a1cc0,dtgraph,small,32,MaintenanceOwners,edgesDirection,194,100
c3566006-fadc-431a-82c2-a2c8d63a1cc0,dtgraph,small,32,EnvironmentOutlier,edgesDirection,589,8
c3566006-fadc-431a-82c2-a2c8d63a1cc0,dtgraph,small,32,AgentOutlier,edgesDirection,340,100
c3566006-fadc-431a-82c2-a2c8d63a1cc0,dtgraph,small,32,AgentHistory,edgesDirection,11,1
13fe9c57-69d4-4148-a024-aefe7e030bc8,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
13fe9c57-69d4-4148-a024-aefe7e030bc8,dtgraph,small,32,EnvironmentAggregate,edgesDirection,279,100
13fe9c57-69d4-4148-a024-aefe7e030bc8,dtgraph,small,32,MaintenanceOwners,edgesDirection,200,100
13fe9c57-69d4-4148-a024-aefe7e030bc8,dtgraph,small,32,EnvironmentOutlier,edgesDirection,586,8
13fe9c57-69d4-4148-a024-aefe7e030bc8,dtgraph,small,32,AgentOutlier,edgesDirection,341,100
13fe9c57-69d4-4148-a024-aefe7e030bc8,dtgraph,small,32,AgentHistory,edgesDirection,13,1
95d00d2d-a42e-4221-ab0b-53742e694c39,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
95d00d2d-a42e-4221-ab0b-53742e694c39,dtgraph,small,32,EnvironmentAggregate,edgesDirection,273,100
95d00d2d-a42e-4221-ab0b-53742e694c39,dtgraph,small,32,MaintenanceOwners,edgesDirection,197,100
95d00d2d-a42e-4221-ab0b-53742e694c39,dtgraph,small,32,EnvironmentOutlier,edgesDirection,619,8
95d00d2d-a42e-4221-ab0b-53742e694c39,dtgraph,small,32,AgentOutlier,edgesDirection,349,100
95d00d2d-a42e-4221-ab0b-53742e694c39,dtgraph,small,32,AgentHistory,edgesDirection,17,1
60e77a53-2ac7-42ac-b188-3201024a3582,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
60e77a53-2ac7-42ac-b188-3201024a3582,dtgraph,small,32,EnvironmentAggregate,edgesDirection,270,100
60e77a53-2ac7-42ac-b188-3201024a3582,dtgraph,small,32,MaintenanceOwners,edgesDirection,204,100
60e77a53-2ac7-42ac-b188-3201024a3582,dtgraph,small,32,EnvironmentOutlier,edgesDirection,576,8
60e77a53-2ac7-42ac-b188-3201024a3582,dtgraph,small,32,AgentOutlier,edgesDirection,350,100
60e77a53-2ac7-42ac-b188-3201024a3582,dtgraph,small,32,AgentHistory,edgesDirection,14,1
746021bd-b4d0-425e-badf-6f2d25abd0b9,dtgraph,small,32,EnvironmentCoverage,edgesDirection,1,10
