test_id,model,datasetSize,threads,queryName,queryType,elapsedTime,numEntities
72590824-7fcb-4890-9e0a-0847616736ab,dtgraph,small,1,AgentHistory,edgesDirection,30,1
ec17b0c7-dbc4-4172-b7af-da3d1721c669,dtgraph,small,1,EnvironmentCoverage,edgesDirection,2,5
ec17b0c7-dbc4-4172-b7af-da3d1721c669,dtgraph,small,1,EnvironmentAggregate,edgesDirection,5218,100
ec17b0c7-dbc4-4172-b7af-da3d1721c669,dtgraph,small,1,MaintenanceOwners,edgesDirection,3095,100
ec17b0c7-dbc4-4172-b7af-da3d1721c669,dtgraph,small,1,EnvironmentOutlier,edgesDirection,8462,8
ec17b0c7-dbc4-4172-b7af-da3d1721c669,dtgraph,small,1,AgentOutlier,edgesDirection,6046,100
ec17b0c7-dbc4-4172-b7af-da3d1721c669,dtgraph,small,1,AgentHistory,edgesDirection,28,1
40fe606b-14a2-4a6c-b91b-7987072ec109,dtgraph,small,1,EnvironmentCoverage,edgesDirection,1,5
40fe606b-14a2-4a6c-b91b-7987072ec109,dtgraph,small,1,EnvironmentAggregate,edgesDirection,5228,100
40fe606b-14a2-4a6c-b91b-7987072ec109,dtgraph,small,1,MaintenanceOwners,edgesDirection,2966,100
40fe606b-14a2-4a6c-b91b-7987072ec109,dtgraph,small,1,EnvironmentOutlier,edgesDirection,8576,8
40fe606b-14a2-4a6c-b91b-7987072ec109,dtgraph,small,1,AgentOutlier,edgesDirection,6053,100
40fe606b-14a2-4a6c-b91b-7987072ec109,dtgraph,small,1,AgentHistory,edgesDirection,31,1
ee9adfc2-d909-46dc-b43f-570dd3a11ca6,dtgraph,small,1,EnvironmentCoverage,edgesDirection,3,5
ee9adfc2-d909-46dc-b43f-570dd3a11ca6,dtgraph,small,1,EnvironmentAggregate,edgesDirection,5180,100
ee9adfc2-d909-46dc-b43f-570dd3a11ca6,dtgraph,small,1,MaintenanceOwners,edgesDirection,3024,100
ee9adfc2-d909-46dc-b43f-570dd3a11ca6,dtgraph,small,1,EnvironmentOutlier,edgesDirection,8843,8
ee9adfc2-d909-46dc-b43f-570dd3a11ca6,dtgraph,small,1,AgentOutlier,edgesDirection,6123,100
ee9adfc2-d909-46dc-b43f-570dd3a11ca6,dtgraph,small,1,AgentHistory,edgesDirection,32,1
97e0315d-9fde-4ba0-95f9-e35544ed0d37,dtgraph,small,1,EnvironmentCoverage,edgesDirection,2,5
97e0315d-9fde-4ba0-95f9-e35544ed0d37,dtgraph,small,1,EnvironmentAggregate,edgesDirection,5090,100
97e0315d-9fde-4ba0-95f9-e35544ed0d37,dtgraph,small,1,MaintenanceOwners,edgesDirection,2914,100
97e0315d-9fde-4ba0-95f9-e35544ed0d37,dtgraph,small,1,EnvironmentOutlier,edgesDirection,8150,8
97e0315d-9fde-4ba0-95f9-e35544ed0d37,dtgraph,small,1,AgentOutlier,edgesDirection,5919,100
97e0315d-9fde-4ba0-95f9-e35544ed0d37,dtgraph,small,1,AgentHistory,edgesDirection,34,1
ccbb6889-5b31-4f07-b6da-3efd6e5b0f1e,dtgraph,small,1,EnvironmentCoverage,edgesDirection,1,5
ccbb6889-5b31-4f07-b6da-3efd6e5b0f1e,dtgraph,small,1,EnvironmentAggregate,edgesDirection,5023,100
ccbb6889-5b31-4f07-b6da-3efd6e5b0f1e,dtgraph,small,1,MaintenanceOwners,edgesDirection,2918,100
ccbb6889-5b31-4f07-b6da-3efd6e5b0f1e,dtgraph,small,1,EnvironmentOutlier,edgesDirection,8239,8
ccbb6889-5b31-4f07-b6da-3efd6e5b0f1e,dtgraph,small,1,AgentOutlier,edgesDirection,5669,100
ccbb6889-5b31-4f07-b6da-3efd6e5b0f1e,dtgraph,small,1,AgentHistory,edgesDirection,29,1
395a1638-478a-4344-a451-c86a4557c555,dtgraph,small,1,EnvironmentCoverage,edgesDirection,1,5
395a1638-478a-4344-a451-c86a4557c555,dtgraph,small,1,EnvironmentAggregate,edgesDirection,4730,100
395a1638-478a-4344-a451-c86a4557c555,dtgraph,small,1,MaintenanceOwners,edgesDirection,2869,100
395a1638-478a-4344-a451-c86a4557c555,dtgraph,small,1,EnvironmentOutlier,edgesDirection,8357,8
